OBJECTID,METER_ID,VENDOR,PAY_POLICY,PARK_NO_PAY,TOW_AWAY,BLK_NO,STREET,LONGITUDE,LATITUDE,G_DISTRICT,G_SUBZONE,G_ZONE,BASE_RATE
1001,,IPS,"08:00AM-04:00PM MON-FRI $0.25 120,08:00AM-08:00PM SAT $0.25 120,06:00PM-08:00PM MON-FRI $0.25 120","00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,CAMBRIDGE ST,-71.060641,42.360431,DISTRICT 0,0BA,BA,0.25
1002,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,CAMBRIDGE ST,-71.060526,42.360332,DISTRICT 0,0BA,BA,0.25
1003,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,CAMBRIDGE ST,-71.060479,42.360287,DISTRICT 0,0BA,BA,0.25
1004,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,CAMBRIDGE ST,-71.060373,42.360188,DISTRICT 0,0BA,BA,0.25
1005,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,CAMBRIDGE ST,-71.06033,42.360139,DISTRICT 0,0BA,BA,0.25
1006,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,CAMBRIDGE ST,-71.060256,42.360059,DISTRICT 0,0BA,BA,0.25
1007,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,CAMBRIDGE ST,-71.060215,42.360008,DISTRICT 0,0BA,BA,0.25
1008,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,CAMBRIDGE ST,-71.060124,42.359902,DISTRICT 0,0BA,BA,0.25
1009,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,TREMONT ST,-71.059909,42.358983,DISTRICT 1,0BA,BA,0.25
1010,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,TREMONT ST,-71.059962,42.358935,DISTRICT 1,0BA,BA,0.25
1011,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,TREMONT ST,-71.059995,42.35888,DISTRICT 1,0BA,BA,0.25
1012,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,TREMONT ST,-71.060018,42.358822,DISTRICT 1,0BA,BA,0.25
1013,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,TREMONT ST,-71.060139,42.358595,DISTRICT 1,0BA,BA,0.25
1014,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,TREMONT ST,-71.060191,42.358538,DISTRICT 1,0BA,BA,0.25
1015,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,TREMONT ST,-71.060254,42.358481,DISTRICT 1,0BA,BA,0.25
1016,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SOME,TREMONT ST,-71.060294,42.358416,DISTRICT 1,0BA,BA,0.25
1017,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,NORT,UNION ST,-71.056834,42.360829,DISTRICT 0,0BA,BA,0.25
1018,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,NORT,UNION ST,-71.056861,42.360978,DISTRICT 0,0BA,BA,0.25
1019,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,NORT,UNION ST,-71.056846,42.360926,DISTRICT 0,0BA,BA,0.25
1020,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MARS,UNION ST,-71.057062,42.361397,DISTRICT 0,0BA,BA,0.25
1021,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MARS,UNION ST,-71.057089,42.361448,DISTRICT 0,0BA,BA,0.25
1022,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MARS,UNION ST,-71.05713,42.361523,DISTRICT 0,0BA,BA,0.25
1023,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MARS,UNION ST,-71.057156,42.361577,DISTRICT 0,0BA,BA,0.25
1024,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MARS,UNION ST,-71.057202,42.36166,DISTRICT 0,0BA,BA,0.25
1025,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.057329,42.36162,DISTRICT 0,0BA,BA,0.25
1026,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.057302,42.361561,DISTRICT 0,0BA,BA,0.25
1027,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.057275,42.36151,DISTRICT 0,0BA,BA,0.25
1028,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.057242,42.361439,DISTRICT 0,0BA,BA,0.25
1029,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.057204,42.361391,DISTRICT 0,0BA,BA,0.25
1030,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.057182,42.361321,DISTRICT 0,0BA,BA,0.25
1031,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.057156,42.361266,DISTRICT 0,0BA,BA,0.25
1032,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.057105,42.361171,DISTRICT 0,0BA,BA,0.25
1033,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.05708,42.361116,DISTRICT 0,0BA,BA,0.25
1034,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.057013,42.360958,DISTRICT 0,0BA,BA,0.25
1035,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.056946,42.360685,DISTRICT 0,0BA,BA,0.25
1036,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.056901,42.360588,DISTRICT 0,0BA,BA,0.25
1037,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,HANO,UNION ST,-71.056873,42.360535,DISTRICT 0,0BA,BA,0.25
1038,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MILK,DEVONSHIRE ST,-71.057388,42.356658,DISTRICT 0,0BA,BA,0.25
1039,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MILK,DEVONSHIRE ST,-71.057394,42.356607,DISTRICT 0,0BA,BA,0.25
1040,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MILK,DEVONSHIRE ST,-71.057399,42.356499,DISTRICT 0,0BA,BA,0.25
1041,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057243,42.355495,DISTRICT 0,0BA,BA,0.25
1042,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057246,42.355575,DISTRICT 0,0BA,BA,0.25
1043,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057251,42.355628,DISTRICT 0,0BA,BA,0.25
1044,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057257,42.355699,DISTRICT 0,0BA,BA,0.25
1045,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057261,42.355751,DISTRICT 0,0BA,BA,0.25
1046,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057266,42.355839,DISTRICT 0,0BA,BA,0.25
1047,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057273,42.355892,DISTRICT 0,0BA,BA,0.25
1048,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.05728,42.355977,DISTRICT 0,0BA,BA,0.25
1049,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057283,42.356031,DISTRICT 0,0BA,BA,0.25
1050,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057285,42.356119,DISTRICT 0,0BA,BA,0.25
1051,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057287,42.356173,DISTRICT 0,0BA,BA,0.25
1052,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057288,42.356244,DISTRICT 0,0BA,BA,0.25
1053,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057292,42.356299,DISTRICT 0,0BA,BA,0.25
1054,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057284,42.356366,DISTRICT 0,0BA,BA,0.25
1055,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057288,42.356419,DISTRICT 0,0BA,BA,0.25
1056,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057284,42.356483,DISTRICT 0,0BA,BA,0.25
1057,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057282,42.356536,DISTRICT 0,0BA,BA,0.25
1058,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057279,42.356619,DISTRICT 0,0BA,BA,0.25
1059,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,FRAN,DEVONSHIRE ST,-71.057274,42.356674,DISTRICT 0,0BA,BA,0.25
1060,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,PEAR,MILK ST,-71.055524,42.356882,DISTRICT 0,0BB,BB,0.25
1061,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,PEAR,MILK ST,-71.055464,42.356908,DISTRICT 0,0BB,BB,0.25
1062,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,PEAR,MILK ST,-71.055378,42.35695,DISTRICT 0,0BB,BB,0.25
1063,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,PEAR,MILK ST,-71.055314,42.356982,DISTRICT 0,0BB,BB,0.25
1064,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,PEAR,MILK ST,-71.055203,42.357039,DISTRICT 0,0BB,BB,0.25
1065,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,PEAR,MILK ST,-71.05515,42.357074,DISTRICT 0,0BB,BB,0.25
1066,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,PEAR,MILK ST,-71.055063,42.357123,DISTRICT 0,0BB,BB,0.25
1067,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,PEAR,MILK ST,-71.055007,42.357157,DISTRICT 0,0BB,BB,0.25
1068,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,PEAR,MILK ST,-71.054905,42.357227,DISTRICT 0,0BB,BB,0.25
1069,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,OLIV,MILK ST,-71.054776,42.357368,DISTRICT 0,0BB,BB,0.25
1070,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,OLIV,MILK ST,-71.054724,42.357406,DISTRICT 0,0BB,BB,0.25
1071,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,OLIV,MILK ST,-71.05463,42.357469,DISTRICT 0,0BB,BB,0.25
1072,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,OLIV,MILK ST,-71.054575,42.357507,DISTRICT 0,0BB,BB,0.25
1073,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BATT,MILK ST,-71.054269,42.357718,DISTRICT 0,0BB,BB,0.25
1074,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BATT,MILK ST,-71.054221,42.357758,DISTRICT 0,0BB,BB,0.25
1075,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BATT,MILK ST,-71.054168,42.357802,DISTRICT 0,0BB,BB,0.25
1076,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BATT,MILK ST,-71.054114,42.357836,DISTRICT 0,0BB,BB,0.25
1077,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BATT,MILK ST,-71.054014,42.35791,DISTRICT 0,0BB,BB,0.25
1078,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BROA,MILK ST,-71.053811,42.358056,DISTRICT 0,0BB,BB,0.25
1079,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BROA,MILK ST,-71.053757,42.358091,DISTRICT 0,0BB,BB,0.25
1080,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BROA,MILK ST,-71.053673,42.358154,DISTRICT 0,0BB,BB,0.25
1081,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BROA,MILK ST,-71.053614,42.358188,DISTRICT 0,0BB,BB,0.25
1082,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BROA,MILK ST,-71.05353,42.358247,DISTRICT 0,0BB,BB,0.25
1083,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BROA,MILK ST,-71.053442,42.358299,DISTRICT 0,0BB,BB,0.25
1084,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BROA,MILK ST,-71.053389,42.358336,DISTRICT 0,0BB,BB,0.25
1085,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,BROA,MILK ST,-71.053308,42.358393,DISTRICT 0,0BB,BB,0.25
1086,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MILK,INDIA ST,-71.053175,42.358361,DISTRICT 0,0BB,BB,0.25
1087,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MILK,INDIA ST,-71.053113,42.358334,DISTRICT 0,0BB,BB,0.25
1088,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MILK,INDIA ST,-71.053033,42.358299,DISTRICT 0,0BB,BB,0.25
1089,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,MILK,INDIA ST,-71.052965,42.358275,DISTRICT 0,0BB,BB,0.25
1090,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CUST,INDIA ST,-71.052756,42.358182,DISTRICT 0,0BB,BB,0.25
1091,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CUST,INDIA ST,-71.052689,42.358158,DISTRICT 0,0BB,BB,0.25
1092,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CUST,INDIA ST,-71.05261,42.358126,DISTRICT 0,0BB,BB,0.25
1093,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CUST,INDIA ST,-71.052544,42.358101,DISTRICT 0,0BB,BB,0.25
1094,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CUST,INDIA ST,-71.05246,42.358068,DISTRICT 0,0BB,BB,0.25
1095,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,CUST,INDIA ST,-71.052399,42.358043,DISTRICT 0,0BB,BB,0.25
1096,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SURF,INDIA ST,-71.05233,42.358141,DISTRICT 0,0BB,BB,0.25
1097,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SURF,INDIA ST,-71.052393,42.358168,DISTRICT 0,0BB,BB,0.25
1098,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SURF,INDIA ST,-71.052485,42.358202,DISTRICT 0,0BB,BB,0.25
1099,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SURF,INDIA ST,-71.052542,42.358225,DISTRICT 0,0BB,BB,0.25
1100,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SURF,INDIA ST,-71.052616,42.358248,DISTRICT 0,0BB,BB,0.25
1101,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SURF,INDIA ST,-71.05268,42.358269,DISTRICT 0,0BB,BB,0.25
1102,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SURF,INDIA ST,-71.052767,42.358316,DISTRICT 0,0BB,BB,0.25
1103,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SURF,INDIA ST,-71.052817,42.358337,DISTRICT 0,0BB,BB,0.25
1104,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SURF,INDIA ST,-71.052917,42.358373,DISTRICT 0,0BB,BB,0.25
1105,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SURF,INDIA ST,-71.052987,42.358397,DISTRICT 0,0BB,BB,0.25
1106,,IPS,08:00AM-08:00PM MON-SAT $0.25 120,"00:00AM-24:00AM SUN, 00:00AM-08:00AM MON-SAT, 08:00PM-24:00AM MON-SAT",,SURF,INDIA ST,-71.053075,42.358426,DISTRICT 0,0BB,BB,0.25
